32.223.6.94:80  # status 404 http://httpbin.org/ip
31.145.50.1:8080  # ProxyError HTTPConnectionPool(host='31.145.50.1', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
123.141.181.1:5031  # ProxyError HTTPConnectionPool(host='123.141.181.1', port=5031): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E1850>, 'Connection to 123.141.181.1 timed out. (connect timeout=8)')))
31.145.50.3:8080  # ProxyError HTTPConnectionPool(host='31.145.50.3', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.50.6:8080  # ProxyError HTTPConnectionPool(host='31.145.50.6', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
101.1.59.65:443  # ProxyError HTTPConnectionPool(host='101.1.59.65', port=443): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
31.145.174.161:8080  # ProxyError HTTPConnectionPool(host='31.145.174.161', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.174.186:8080  # ProxyError HTTPConnectionPool(host='31.145.174.186', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.50.19:8080  # ProxyError HTTPConnectionPool(host='31.145.50.19', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
5.45.126.128:8080  # ReadTimeout HTTPConnectionPool(host='5.45.126.128', port=8080): Read timed out. (read timeout=8)
31.145.174.176:8080  # ProxyError HTTPConnectionPool(host='31.145.174.176', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
